code,parent,labels
master,,"{'en_US': 'Master catalog', 'de_DE': 'Hauptkatalog', 'fr_FR': 'Catalogue principal'}"
tvs_projectors,master,"{'en_US': 'TVs and projectors', 'de_DE': 'TVs und projectoren', 'fr_FR': 'Téléviseurs et projecteurs'}"
pc_monitors,tvs_projectors,"{'en_US': 'PC Monitors', 'de_DE': 'PC Monitoren', 'fr_FR': 'Moniteurs PC'}"
led_tvs,tvs_projectors,"{'en_US': 'LED TVs', 'de_DE': 'TVs LED', 'fr_FR': 'Télévisions LED'}"
cameras,master,"{'en_US': 'Cameras', 'de_DE': 'Cameras', 'fr_FR': 'Caméras'}"
digital_cameras,cameras,"{'en_US': 'Digital cameras', 'de_DE': 'Digitale Kameras', 'fr_FR': 'Caméras digitales'}"
camcorders,cameras,"{'en_US': 'Camcorders', 'de_DE': 'Digitale Videokameras', 'fr_FR': 'Caméscopes numériques'}"
webcams,cameras,"{'en_US': 'Webcams', 'de_DE': 'Webcams', 'fr_FR': 'Webcams'}"
audio_video,master,"{'en_US': 'Audio and Video', 'de_DE': 'Audio und Video', 'fr_FR': 'Audio et Video'}"
headphones,audio_video,"{'en_US': 'Headphones', 'de_DE': 'Kopfhörer', 'fr_FR': 'Casques audio'}"
mp3_players,audio_video,"{'en_US': 'MP3 players', 'de_DE': 'MP3/MP4 Player', 'fr_FR': 'Lecteurs et enregistreurs MP3'}"
loudspeakers,audio_video,"{'en_US': 'Loudspeakers', 'de_DE': 'Lautsprecher', 'fr_FR': 'Hauts-parleurs'}"
print_scan,master,"{'en_US': 'Print and scan', 'de_DE': 'Drucken und Scannen', 'fr_FR': 'Imprimantes et scanners'}"
multifunctionals,print_scan,"{'en_US': 'Multifunctionals', 'de_DE': 'Multifunktionsgeräte', 'fr_FR': 'Multifonctions'}"
laser_led_printers,print_scan,"{'en_US': 'Laser and LED printers', 'de_DE': 'Laserdrucker', 'fr_FR': 'Imprimantes laser et LED'}"
scanners,print_scan,"{'en_US': 'Scanners', 'de_DE': 'Scanners', 'fr_FR': 'Scanners'}"
clothes,master,"{'en_US': 'Clothes', 'de_DE': 'Kleidung', 'fr_FR': 'Vêtements'}"
pants,clothes,"{'en_US': 'Pants', 'de_DE': 'Hose', 'fr_FR': 'Pantalons'}"
jeans,pants,"{'en_US': 'Jeans', 'de_DE': 'Jeans', 'fr_FR': 'Jeans'}"
shoes,clothes,"{'en_US': 'Shoes', 'de_DE': 'Schuhe', 'fr_FR': 'Chaussures'}"
clothes_accessories,clothes,"{'en_US': 'Accessories', 'de_DE': 'Zubehör', 'fr_FR': 'Accessoires'}"
caps,clothes_accessories,"{'en_US': 'Caps', 'de_DE': 'Kappe', 'fr_FR': 'Bonnets'}"
ties,clothes_accessories,"{'en_US': 'Ties', 'de_DE': 'Binden', 'fr_FR': 'Cravates'}"
gloves,clothes_accessories,"{'en_US': 'Gloves', 'de_DE': 'Handschuhe', 'fr_FR': 'Gants'}"
belts,clothes_accessories,"{'en_US': 'Belts', 'de_DE': 'Gürtel', 'fr_FR': 'Ceintures'}"
sweat,clothes,"{'en_US': 'Sweat', 'de_DE': 'Pull', 'fr_FR': 'Pullover'}"
coats,clothes,"{'en_US': 'Coats', 'de_DE': 'Mäntel', 'fr_FR': 'Manteaux'}"
underwear,clothes,"{'en_US': 'Underwear', 'de_DE': 'Unterwäsche', 'fr_FR': 'Sous-vêtements'}"
office,master,"{'en_US': 'Office', 'de_DE': 'Büro', 'fr_FR': 'Bureau'}"
office_furnitures,office,"{'en_US': 'Office furnitures', 'de_DE': 'Büromöbel', 'fr_FR': 'Mobilier de bureau'}"
desk_chairs,office_furnitures,"{'en_US': 'Desk chairs', 'de_DE': 'Schreibtisch-Stühle', 'fr_FR': 'Chaises de bureau'}"
office_tables,office_furnitures,"{'en_US': 'Office tables', 'de_DE': 'Bürotische', 'fr_FR': 'Tables de bureau'}"
paper,office,"{'en_US': 'Stationery', 'de_DE': 'Briefpapier', 'fr_FR': 'Papeterie'}"
notebooks,paper,"{'en_US': 'Notebooks', 'de_DE': 'Heft', 'fr_FR': 'Cahiers'}"
cards,paper,"{'en_US': 'Cards', 'de_DE': 'Karten', 'fr_FR': 'Cartes'}"
envelopes,paper,"{'en_US': 'Envelopes', 'de_DE': 'Umschläge', 'fr_FR': 'Enveloppes'}"
desk_supplies,office,"{'en_US': 'Desk supplies', 'de_DE': 'Schreibtisch Versorgung', 'fr_FR': 'Fournitures de bureau'}"
markers,desk_supplies,"{'en_US': 'Markers', 'de_DE': 'Marker', 'fr_FR': 'Marqueurs'}"
erasers,desk_supplies,"{'en_US': 'Erasers', 'de_DE': 'Radiergummi', 'fr_FR': 'Effaceurs'}"
pens,desk_supplies,"{'en_US': 'Pens', 'de_DE': 'Stifte', 'fr_FR': 'Stylos'}"
postit_notes,desk_supplies,{}
stamps,desk_supplies,"{'en_US': 'Stamps', 'de_DE': 'Briefmarken', 'fr_FR': 'Timbres'}"
adhesives,desk_supplies,"{'en_US': 'Adhesives', 'de_DE': 'Klebstoffe', 'fr_FR': 'Adhésifs'}"
goodies,office,"{'en_US': 'Goodies', 'de_DE': 'Leckereien', 'fr_FR': 'Goodies'}"
stickers,goodies,"{'en_US': 'Stickers', 'de_DE': 'Aufkleber', 'fr_FR': 'Autocollants'}"
casino_chips,goodies,"{'en_US': 'Casino chips', 'de_DE': 'Casino-Chips', 'fr_FR': 'Jetons de casino'}"
mugs,goodies,"{'en_US': 'Mugs', 'de_DE': 'Tassen', 'fr_FR': 'Chopes'}"
master_accessories,master,"{'en_US': 'Accessories', 'de_DE': 'Accessories', 'fr_FR': 'Accessories'}"
master_accessories_belts,master_accessories,"{'en_US': 'Belts', 'de_DE': 'Belts', 'fr_FR': 'Belts'}"
master_accessories_bags,master_accessories,"{'en_US': 'Bags', 'de_DE': 'Bags', 'fr_FR': 'Bags'}"
master_accessories_sunglasses,master_accessories,"{'en_US': 'Sunglasses', 'de_DE': 'Sunglasses', 'fr_FR': 'Sunglasses'}"
master_accessories_hats,master_accessories,"{'en_US': 'Hats', 'de_DE': 'Hats', 'fr_FR': 'Hats'}"
master_accessories_scarves,master_accessories,"{'en_US': 'Scarves', 'de_DE': 'Scarves', 'fr_FR': 'Scarves'}"
master_men,master,"{'en_US': 'Men', 'de_DE': 'Men', 'fr_FR': 'Men'}"
master_men_blazers,master_men,"{'en_US': 'Blazers', 'de_DE': 'Blazers', 'fr_FR': 'Blazers'}"
master_men_blazers_deals,master_men_blazers,"{'en_US': 'Deals', 'de_DE': 'Deals', 'fr_FR': 'Deals'}"
master_men_pants,master_men,"{'en_US': 'Pants', 'de_DE': 'Pants', 'fr_FR': 'Pants'}"
master_men_pants_shorts,master_men_pants,"{'en_US': 'Shorts', 'de_DE': 'Shorts', 'fr_FR': 'Shorts'}"
master_men_pants_jeans,master_men_pants,"{'en_US': 'Jeans', 'de_DE': 'Jeans', 'fr_FR': 'Jeans'}"
master_men_shoes,master_men,"{'en_US': 'Shoes', 'de_DE': 'Shoes', 'fr_FR': 'Shoes'}"
tshirts,master_men,"{'en_US': 'T-shirts', 'de_DE': 'T-shirts', 'fr_FR': 'T-shirts'}"
master_women,master,"{'en_US': 'Women', 'de_DE': 'Women', 'fr_FR': 'Women'}"
master_women_blouses,master_women,"{'en_US': 'Blouses', 'de_DE': 'Blouses', 'fr_FR': 'Blouses'}"
master_women_blouses_deals,master_women_blouses,"{'en_US': 'Deals', 'de_DE': 'Deals', 'fr_FR': 'Deals'}"
master_women_dresses,master_women,"{'en_US': 'Dresses', 'de_DE': 'Dresses', 'fr_FR': 'Dresses'}"
master_women_shirts,master_women,"{'en_US': 'Shirts', 'de_DE': 'Shirts', 'fr_FR': 'Shirts'}"
master_women_shoes,master_women,"{'en_US': 'Shoes', 'de_DE': 'Shoes', 'fr_FR': 'Shoes'}"
sales,,"{'en_US': 'Sales catalog', 'de_DE': 'Katalog Umsatz', 'fr_FR': 'Catalogue des ventes'}"
brands,sales,"{'en_US': 'Brands', 'de_DE': 'Marken', 'fr_FR': 'Marques'}"
3go,brands,"{'en_US': '3GO', 'de_DE': '3GO', 'fr_FR': '3GO'}"
3m,brands,"{'en_US': '3M', 'de_DE': '3M', 'fr_FR': '3M'}"
a4tech,brands,"{'en_US': 'A4Tech', 'de_DE': 'A4Tech', 'fr_FR': 'A4Tech'}"
aoc,brands,"{'en_US': 'AOC', 'de_DE': 'AOC', 'fr_FR': 'AOC'}"
asus,brands,"{'en_US': 'ASUS', 'de_DE': 'ASUS', 'fr_FR': 'ASUS'}"
acer,brands,"{'en_US': 'Acer', 'de_DE': 'Acer', 'fr_FR': 'Acer'}"
adapt,brands,"{'en_US': 'Adapt', 'de_DE': 'Adapt', 'fr_FR': 'Adapt'}"
approx,brands,"{'en_US': 'Approx', 'de_DE': 'Approx', 'fr_FR': 'Approx'}"
avision,brands,"{'en_US': 'Avision', 'de_DE': 'Avision', 'fr_FR': 'Avision'}"
belkin,brands,"{'en_US': 'Belkin', 'de_DE': 'Belkin', 'fr_FR': 'Belkin'}"
brother,brands,"{'en_US': 'Brother', 'de_DE': 'Brother', 'fr_FR': 'Brother'}"
canon,brands,"{'en_US': 'Canon', 'de_DE': 'Canon', 'fr_FR': 'Canon'}"
cisco,brands,"{'en_US': 'Cisco', 'de_DE': 'Cisco', 'fr_FR': 'Cisco'}"
conceptronic,brands,"{'en_US': 'Conceptronic', 'de_DE': 'Conceptronic', 'fr_FR': 'Conceptronic'}"
d_link,brands,"{'en_US': 'D-Link', 'de_DE': 'D-Link', 'fr_FR': 'D-Link'}"
dell,brands,"{'en_US': 'DELL', 'de_DE': 'DELL', 'fr_FR': 'DELL'}"
dymo,brands,"{'en_US': 'DYMO', 'de_DE': 'DYMO', 'fr_FR': 'DYMO'}"
devolo,brands,"{'en_US': 'Devolo', 'de_DE': 'Devolo', 'fr_FR': 'Devolo'}"
dicota,brands,"{'en_US': 'Dicota', 'de_DE': 'Dicota', 'fr_FR': 'Dicota'}"
eminent,brands,"{'en_US': 'Eminent', 'de_DE': 'Eminent', 'fr_FR': 'Eminent'}"
emtec,brands,"{'en_US': 'Emtec', 'de_DE': 'Emtec', 'fr_FR': 'Emtec'}"
ewent,brands,"{'en_US': 'Ewent', 'de_DE': 'Ewent', 'fr_FR': 'Ewent'}"
fujifilm,brands,"{'en_US': 'Fujifilm', 'de_DE': 'Fujifilm', 'fr_FR': 'Fujifilm'}"
fujitsu,brands,"{'en_US': 'Fujitsu', 'de_DE': 'Fujitsu', 'fr_FR': 'Fujitsu'}"
g_cube,brands,"{'en_US': 'G-Cube', 'de_DE': 'G-Cube', 'fr_FR': 'G-Cube'}"
gear4,brands,"{'en_US': 'GEAR4', 'de_DE': 'GEAR4', 'fr_FR': 'GEAR4'}"
gigabyte,brands,"{'en_US': 'Gigabyte', 'de_DE': 'Gigabyte', 'fr_FR': 'Gigabyte'}"
hp,brands,"{'en_US': 'HP', 'de_DE': 'HP', 'fr_FR': 'HP'}"
hamlet,brands,"{'en_US': 'Hamlet', 'de_DE': 'Hamlet', 'fr_FR': 'Hamlet'}"
hiper,brands,"{'en_US': 'Hiper', 'de_DE': 'Hiper', 'fr_FR': 'Hiper'}"
ibm,brands,"{'en_US': 'IBM', 'de_DE': 'IBM', 'fr_FR': 'IBM'}"
icidu,brands,"{'en_US': 'ICIDU', 'de_DE': 'ICIDU', 'fr_FR': 'ICIDU'}"
ion,brands,"{'en_US': 'ION', 'de_DE': 'ION', 'fr_FR': 'ION'}"
ion_audio,brands,"{'en_US': 'ION Audio', 'de_DE': 'ION Audio', 'fr_FR': 'ION Audio'}"
kensington,brands,"{'en_US': 'Kensington', 'de_DE': 'Kensington', 'fr_FR': 'Kensington'}"
kodak,brands,"{'en_US': 'Kodak', 'de_DE': 'Kodak', 'fr_FR': 'Kodak'}"
kyocera,brands,"{'en_US': 'Kyocera', 'de_DE': 'Kyocera', 'fr_FR': 'Kyocera'}"
lg,brands,"{'en_US': 'LG', 'de_DE': 'LG', 'fr_FR': 'LG'}"
lacie,brands,"{'en_US': 'LaCie', 'de_DE': 'LaCie', 'fr_FR': 'LaCie'}"
lenco,brands,"{'en_US': 'Lenco', 'de_DE': 'Lenco', 'fr_FR': 'Lenco'}"
lenovo,brands,"{'en_US': 'Lenovo', 'de_DE': 'Lenovo', 'fr_FR': 'Lenovo'}"
levelone,brands,"{'en_US': 'LevelOne', 'de_DE': 'LevelOne', 'fr_FR': 'LevelOne'}"
lexmark,brands,"{'en_US': 'Lexmark', 'de_DE': 'Lexmark', 'fr_FR': 'Lexmark'}"
logitech,brands,"{'en_US': 'Logitech', 'de_DE': 'Logitech', 'fr_FR': 'Logitech'}"
macally,brands,"{'en_US': 'Macally', 'de_DE': 'Macally', 'fr_FR': 'Macally'}"
magnavox,brands,"{'en_US': 'Magnavox', 'de_DE': 'Magnavox', 'fr_FR': 'Magnavox'}"
medion,brands,"{'en_US': 'Medion', 'de_DE': 'Medion', 'fr_FR': 'Medion'}"
microsoft,brands,"{'en_US': 'Microsoft', 'de_DE': 'Microsoft', 'fr_FR': 'Microsoft'}"
nec,brands,"{'en_US': 'NEC', 'de_DE': 'NEC', 'fr_FR': 'NEC'}"
ngs,brands,"{'en_US': 'NGS', 'de_DE': 'NGS', 'fr_FR': 'NGS'}"
noxon,brands,"{'en_US': 'NOXON', 'de_DE': 'NOXON', 'fr_FR': 'NOXON'}"
oki,brands,"{'en_US': 'OKI', 'de_DE': 'OKI', 'fr_FR': 'OKI'}"
ovislink,brands,"{'en_US': 'OvisLink', 'de_DE': 'OvisLink', 'fr_FR': 'OvisLink'}"
philips,brands,"{'en_US': 'Philips', 'de_DE': 'Philips', 'fr_FR': 'Philips'}"
razer,brands,"{'en_US': 'Razer', 'de_DE': 'Razer', 'fr_FR': 'Razer'}"
ricatech,brands,"{'en_US': 'Ricatech', 'de_DE': 'Ricatech', 'fr_FR': 'Ricatech'}"
ricoh,brands,"{'en_US': 'Ricoh', 'de_DE': 'Ricoh', 'fr_FR': 'Ricoh'}"
spcinternet,brands,"{'en_US': 'SPCinternet', 'de_DE': 'SPCinternet', 'fr_FR': 'SPCinternet'}"
salora,brands,"{'en_US': 'Salora', 'de_DE': 'Salora', 'fr_FR': 'Salora'}"
samsung,brands,"{'en_US': 'Samsung', 'de_DE': 'Samsung', 'fr_FR': 'Samsung'}"
sandberg,brands,"{'en_US': 'Sandberg', 'de_DE': 'Sandberg', 'fr_FR': 'Sandberg'}"
sitecom,brands,"{'en_US': 'Sitecom', 'de_DE': 'Sitecom', 'fr_FR': 'Sitecom'}"
sony,brands,"{'en_US': 'Sony', 'de_DE': 'Sony', 'fr_FR': 'Sony'}"
speed_link,brands,"{'en_US': 'Speed-Link', 'de_DE': 'Speed-Link', 'fr_FR': 'Speed-Link'}"
spire,brands,"{'en_US': 'Spire', 'de_DE': 'Spire', 'fr_FR': 'Spire'}"
sweex,brands,"{'en_US': 'Sweex', 'de_DE': 'Sweex', 'fr_FR': 'Sweex'}"
tdk,brands,"{'en_US': 'TDK', 'de_DE': 'TDK', 'fr_FR': 'TDK'}"
tacens,brands,"{'en_US': 'Tacens', 'de_DE': 'Tacens', 'fr_FR': 'Tacens'}"
targus,brands,"{'en_US': 'Targus', 'de_DE': 'Targus', 'fr_FR': 'Targus'}"
techly,brands,"{'en_US': 'Techly', 'de_DE': 'Techly', 'fr_FR': 'Techly'}"
teufel,brands,"{'en_US': 'Teufel', 'de_DE': 'Teufel', 'fr_FR': 'Teufel'}"
thrustmaster,brands,"{'en_US': 'Thrustmaster', 'de_DE': 'Thrustmaster', 'fr_FR': 'Thrustmaster'}"
toshiba,brands,"{'en_US': 'Toshiba', 'de_DE': 'Toshiba', 'fr_FR': 'Toshiba'}"
trust,brands,"{'en_US': 'Trust', 'de_DE': 'Trust', 'fr_FR': 'Trust'}"
v7,brands,"{'en_US': 'V7', 'de_DE': 'V7', 'fr_FR': 'V7'}"
value,brands,"{'en_US': 'Value', 'de_DE': 'Value', 'fr_FR': 'Value'}"
verbatim,brands,"{'en_US': 'Verbatim', 'de_DE': 'Verbatim', 'fr_FR': 'Verbatim'}"
viewsonic,brands,"{'en_US': 'Viewsonic', 'de_DE': 'Viewsonic', 'fr_FR': 'Viewsonic'}"
vogel_s,brands,"{'en_US': ""Vogel's"", 'de_DE': ""Vogel's"", 'fr_FR': ""Vogel's""}"
woxter,brands,"{'en_US': 'Woxter', 'de_DE': 'Woxter', 'fr_FR': 'Woxter'}"
xerox,brands,"{'en_US': 'Xerox', 'de_DE': 'Xerox', 'fr_FR': 'Xerox'}"
xtrememac,brands,"{'en_US': 'XtremeMac', 'de_DE': 'XtremeMac', 'fr_FR': 'XtremeMac'}"
yarvik,brands,"{'en_US': 'Yarvik', 'de_DE': 'Yarvik', 'fr_FR': 'Yarvik'}"
iiyama,brands,"{'en_US': 'iiyama', 'de_DE': 'iiyama', 'fr_FR': 'iiyama'}"
takems,brands,"{'en_US': 'takeMS', 'de_DE': 'takeMS', 'fr_FR': 'takeMS'}"
home_appliances,sales,"{'en_US': 'Home appliances', 'de_DE': 'Haushaltsgeräte', 'fr_FR': 'Appareils ménagers'}"
tvs_projectors_sales,home_appliances,"{'en_US': 'TVs and projectors', 'de_DE': 'TVs und projectoren', 'fr_FR': 'Téléviseurs et projecteurs'}"
cameras_sales,home_appliances,"{'en_US': 'Cameras', 'de_DE': 'Cameras', 'fr_FR': 'Caméras'}"
audio_video_sales,home_appliances,"{'en_US': 'Audio and Video', 'de_DE': 'Audio und Video', 'fr_FR': 'Audio et Video'}"
print_scan_sales,home_appliances,"{'en_US': 'Print and scan', 'de_DE': 'Drucken und Scannen', 'fr_FR': 'Imprimantes et scanners'}"
print,,"{'en_US': 'Print', 'de_DE': 'Print', 'fr_FR': 'Print'}"
print_accessories,print,"{'en_US': 'Accessories', 'de_DE': 'Accessories', 'fr_FR': 'Accessories'}"
print_clothing,print,"{'en_US': 'Clothing', 'de_DE': 'Clothing', 'fr_FR': 'Clothing'}"
print_shoes,print,"{'en_US': 'Shoes', 'de_DE': 'Shoes', 'fr_FR': 'Shoes'}"
suppliers,,"{'en_US': 'Suppliers', 'de_DE': 'Suppliers', 'fr_FR': 'Suppliers'}"
supplier_mongo,suppliers,"{'en_US': 'Mongo', 'de_DE': 'Mongo', 'fr_FR': 'Mongo'}"
supplier_zaro,suppliers,"{'en_US': 'Zaro', 'de_DE': 'Zaro', 'fr_FR': 'Zaro'}"
supplier_the_tootles,suppliers,"{'en_US': 'The Tootles', 'de_DE': 'The Tootles', 'fr_FR': 'The Tootles'}"
supplier_abibas,suppliers,"{'en_US': 'Abibas', 'de_DE': 'Abibas', 'fr_FR': 'Abibas'}"
