code,standard,units
Angle,RADIAN,"[{'code': 'RADIAN', 'convert': {'mul': '1'}, 'symbol': 'rad'}, {'code': 'MILLIRADIAN', 'convert': {'mul': '0.001'}, 'symbol': 'mrad'}, {'code': 'MICRORADIAN', 'convert': {'mul': '0.000001'}, 'symbol': 'µrad'}, {'code': 'DEGREE', 'convert': {'mul': '0.01745329'}, 'symbol': '°'}, {'code': 'MINUTE', 'convert': {'mul': '0.0002908882'}, 'symbol': ""'""}, {'code': 'SECOND', 'convert': {'mul': '0.000004848137'}, 'symbol': '""'}, {'code': 'GON', 'convert': {'mul': '0.01570796'}, 'symbol': 'gon'}, {'code': 'MIL', 'convert': {'mul': '0.0009817477'}, 'symbol': 'mil'}, {'code': 'REVOLUTION', 'convert': {'mul': '6.283185'}, 'symbol': 'rev'}]"
Area,SQUARE_METER,"[{'code': 'SQUARE_MILLIMETER', 'convert': {'mul': '0.000001'}, 'symbol': 'mm²'}, {'code': 'SQUARE_CENTIMETER', 'convert': {'mul': '0.0001'}, 'symbol': 'cm²'}, {'code': 'SQUARE_DECIMETER', 'convert': {'mul': '0.01'}, 'symbol': 'dm²'}, {'code': 'SQUARE_METER', 'convert': {'mul': '1'}, 'symbol': 'm²'}, {'code': 'CENTIARE', 'convert': {'mul': '1'}, 'symbol': 'ca'}, {'code': 'SQUARE_DEKAMETER', 'convert': {'mul': '100'}, 'symbol': 'dam²'}, {'code': 'ARE', 'convert': {'mul': '100'}, 'symbol': 'a'}, {'code': 'SQUARE_HECTOMETER', 'convert': {'mul': '10000'}, 'symbol': 'hm²'}, {'code': 'HECTARE', 'convert': {'mul': '10000'}, 'symbol': 'ha'}, {'code': 'SQUARE_KILOMETER', 'convert': {'mul': '1000000'}, 'symbol': 'km²'}, {'code': 'SQUARE_MIL', 'convert': {'mul': '0.00000000064516'}, 'symbol': 'sq mil'}, {'code': 'SQUARE_INCH', 'convert': {'mul': '0.00064516'}, 'symbol': 'in²'}, {'code': 'SQUARE_FOOT', 'convert': {'mul': '0.09290304'}, 'symbol': 'ft²'}, {'code': 'SQUARE_YARD', 'convert': {'mul': '0.83612736'}, 'symbol': 'yd²'}, {'code': 'ARPENT', 'convert': {'mul': '3418.89'}, 'symbol': 'arpent'}, {'code': 'ACRE', 'convert': {'mul': '4046.856422'}, 'symbol': 'A'}, {'code': 'SQUARE_FURLONG', 'convert': {'mul': '40468.726'}, 'symbol': 'fur²'}, {'code': 'SQUARE_MILE', 'convert': {'mul': '2589988.110336'}, 'symbol': 'mi²'}]"
Binary,BYTE,"[{'code': 'CHAR', 'convert': {'mul': '8'}, 'symbol': 'char'}, {'code': 'KILOBIT', 'convert': {'mul': '125'}, 'symbol': 'kbit'}, {'code': 'MEGABIT', 'convert': {'mul': '125000'}, 'symbol': 'Mbit'}, {'code': 'GIGABIT', 'convert': {'mul': '125000000'}, 'symbol': 'Gbit'}, {'code': 'BIT', 'convert': {'mul': '0.125'}, 'symbol': 'b'}, {'code': 'BYTE', 'convert': {'mul': '1'}, 'symbol': 'B'}, {'code': 'KILOBYTE', 'convert': {'mul': '1024'}, 'symbol': 'kB'}, {'code': 'MEGABYTE', 'convert': {'mul': '1048576'}, 'symbol': 'MB'}, {'code': 'GIGABYTE', 'convert': {'mul': '1073741824'}, 'symbol': 'GB'}, {'code': 'TERABYTE', 'convert': {'mul': '1099511627776'}, 'symbol': 'TB'}]"
Brightness,LUMEN,"[{'code': 'LUMEN', 'convert': {'mul': '1'}, 'symbol': 'lm'}, {'code': 'NIT', 'convert': {'mul': '0.2918855809'}, 'symbol': 'nits'}]"
Capacitance,FARAD,"[{'code': 'ATTOFARAD', 'convert': {'div': '1000000000000000000'}, 'symbol': 'aF'}, {'code': 'PICOFARAD', 'convert': {'div': '1000000000000'}, 'symbol': 'pF'}, {'code': 'NANOFARAD', 'convert': {'div': '1000000000'}, 'symbol': 'nF'}, {'code': 'MICROFARAD', 'convert': {'div': '1000000'}, 'symbol': 'µF'}, {'code': 'MILLIFARAD', 'convert': {'div': '1000'}, 'symbol': 'mF'}, {'code': 'FARAD', 'convert': {'mul': '1'}, 'symbol': 'F'}, {'code': 'KILOFARAD', 'convert': {'mul': '1000'}, 'symbol': 'kF'}]"
CaseBox,PIECE,"[{'code': 'PIECE', 'convert': {'mul': '1'}, 'symbol': 'Pc'}, {'code': 'DOZEN', 'convert': {'mul': '12'}, 'symbol': 'Dz'}]"
Decibel,DECIBEL,"[{'code': 'DECIBEL', 'convert': {'mul': '1'}, 'symbol': 'dB'}]"
Duration,SECOND,"[{'code': 'MILLISECOND', 'convert': {'mul': '0.001'}, 'symbol': 'ms'}, {'code': 'SECOND', 'convert': {'mul': '1'}, 'symbol': 's'}, {'code': 'MINUTE', 'convert': {'mul': '60'}, 'symbol': 'm'}, {'code': 'HOUR', 'convert': {'mul': '3600'}, 'symbol': 'h'}, {'code': 'DAY', 'convert': {'mul': '86400'}, 'symbol': 'd'}, {'code': 'WEEK', 'convert': {'mul': '604800'}, 'symbol': 'week'}, {'code': 'MONTH', 'convert': {'mul': '2628000'}, 'symbol': 'month'}, {'code': 'YEAR', 'convert': {'mul': '31536000'}, 'symbol': 'year'}]"
ElectricCharge,AMPEREHOUR,"[{'code': 'MILLIAMPEREHOUR', 'convert': {'mul': '0.001'}, 'symbol': 'mAh'}, {'code': 'AMPEREHOUR', 'convert': {'mul': '1'}, 'symbol': 'Ah'}, {'code': 'MILLICOULOMB', 'convert': {'div': '3600000'}, 'symbol': 'mC'}, {'code': 'CENTICOULOMB', 'convert': {'div': '360000'}, 'symbol': 'cC'}, {'code': 'DECICOULOMB', 'convert': {'div': '36000'}, 'symbol': 'dC'}, {'code': 'COULOMB', 'convert': {'div': '3600'}, 'symbol': 'C'}, {'code': 'DEKACOULOMB', 'convert': {'div': '360'}, 'symbol': 'daC'}, {'code': 'HECTOCOULOMB', 'convert': {'div': '36'}, 'symbol': 'hC'}, {'code': 'KILOCOULOMB', 'convert': {'div': '3.6'}, 'symbol': 'kC'}]"
Energy,JOULE,"[{'code': 'JOULE', 'convert': {'mul': '1'}, 'symbol': 'J'}, {'code': 'CALORIE', 'convert': {'mul': '4.184'}, 'symbol': 'cal'}, {'code': 'KILOCALORIE', 'convert': {'mul': '4184'}, 'symbol': 'kcal'}, {'code': 'KILOJOULE', 'convert': {'mul': '1000'}, 'symbol': 'kJ'}]"
Force,NEWTON,"[{'code': 'MILLINEWTON', 'convert': {'mul': '0.001'}, 'symbol': 'mN'}, {'code': 'NEWTON', 'convert': {'mul': '1'}, 'symbol': 'N'}, {'code': 'KILONEWTON', 'convert': {'mul': '1000'}, 'symbol': 'kN'}, {'code': 'MEGANEWTON', 'convert': {'mul': '1000000'}, 'symbol': 'MN'}]"
Frequency,HERTZ,"[{'code': 'HERTZ', 'convert': {'mul': '1'}, 'symbol': 'Hz'}, {'code': 'KILOHERTZ', 'convert': {'mul': '1000'}, 'symbol': 'kHz'}, {'code': 'MEGAHERTZ', 'convert': {'mul': '1000000'}, 'symbol': 'MHz'}, {'code': 'GIGAHERTZ', 'convert': {'mul': '1000000000'}, 'symbol': 'GHz'}, {'code': 'TERAHERTZ', 'convert': {'mul': '1000000000000'}, 'symbol': 'THz'}]"
Intensity,AMPERE,"[{'code': 'MILLIAMPERE', 'convert': {'mul': '0.001'}, 'symbol': 'mA'}, {'code': 'CENTIAMPERE', 'convert': {'mul': '0.01'}, 'symbol': 'cA'}, {'code': 'DECIAMPERE', 'convert': {'mul': '0.1'}, 'symbol': 'dA'}, {'code': 'AMPERE', 'convert': {'mul': '1'}, 'symbol': 'A'}, {'code': 'DEKAMPERE', 'convert': {'mul': '10'}, 'symbol': 'daA'}, {'code': 'HECTOAMPERE', 'convert': {'mul': '100'}, 'symbol': 'hA'}, {'code': 'KILOAMPERE', 'convert': {'mul': '1000'}, 'symbol': 'kA'}]"
Length,METER,"[{'code': 'MICROMETER', 'convert': {'mul': '0.000001'}, 'symbol': 'μm'}, {'code': 'NAUTICAL_MILE', 'convert': {'mul': '1852'}, 'symbol': 'nm'}, {'code': 'MILLIMETER', 'convert': {'mul': '0.001'}, 'symbol': 'mm'}, {'code': 'CENTIMETER', 'convert': {'mul': '0.01'}, 'symbol': 'cm'}, {'code': 'DECIMETER', 'convert': {'mul': '0.1'}, 'symbol': 'dm'}, {'code': 'METER', 'convert': {'mul': '1'}, 'symbol': 'm'}, {'code': 'DEKAMETER', 'convert': {'mul': '10'}, 'symbol': 'dam'}, {'code': 'HECTOMETER', 'convert': {'mul': '100'}, 'symbol': 'hm'}, {'code': 'KILOMETER', 'convert': {'mul': '1000'}, 'symbol': 'km'}, {'code': 'MIL', 'convert': {'mul': '0.0000254'}, 'symbol': 'mil'}, {'code': 'INCH', 'convert': {'mul': '0.0254'}, 'symbol': 'in'}, {'code': 'FEET', 'convert': {'mul': '0.3048'}, 'symbol': 'ft'}, {'code': 'YARD', 'convert': {'mul': '0.9144'}, 'symbol': 'yd'}, {'code': 'CHAIN', 'convert': {'mul': '20.1168'}, 'symbol': 'ch'}, {'code': 'FURLONG', 'convert': {'mul': '201.168'}, 'symbol': 'fur'}, {'code': 'MILE', 'convert': {'mul': '1609.344'}, 'symbol': 'mi'}]"
Power,WATT,"[{'code': 'WATT', 'convert': {'mul': '1'}, 'symbol': 'W'}, {'code': 'KILOWATT', 'convert': {'mul': '1000'}, 'symbol': 'kW'}, {'code': 'MEGAWATT', 'convert': {'mul': '1000000'}, 'symbol': 'MW'}, {'code': 'GIGAWATT', 'convert': {'mul': '1000000000'}, 'symbol': 'GW'}, {'code': 'TERAWATT', 'convert': {'mul': '1000000000000'}, 'symbol': 'TW'}]"
Pressure,BAR,"[{'code': 'CENTIBAR', 'convert': {'mul': '0.01'}, 'symbol': 'cbar'}, {'code': 'DECIBAR', 'convert': {'mul': '0.1'}, 'symbol': 'dbar'}, {'code': 'KILOBAR', 'convert': {'mul': '1000'}, 'symbol': 'kbar'}, {'code': 'MEGABAR', 'convert': {'mul': '1000000'}, 'symbol': 'Mbar'}, {'code': 'KILOPASCAL', 'convert': {'mul': '0.01'}, 'symbol': 'kPa'}, {'code': 'MEGAPASCAL', 'convert': {'mul': '10'}, 'symbol': 'MPa'}, {'code': 'GIGAPASCAL', 'convert': {'mul': '10000'}, 'symbol': 'GPa'}, {'code': 'BAR', 'convert': {'mul': '1'}, 'symbol': 'Bar'}, {'code': 'PASCAL', 'convert': {'mul': '0.00001'}, 'symbol': 'Pa'}, {'code': 'HECTOPASCAL', 'convert': {'mul': '0.001'}, 'symbol': 'hPa'}, {'code': 'MILLIBAR', 'convert': {'mul': '0.001'}, 'symbol': 'mBar'}, {'code': 'ATM', 'convert': {'mul': '1.01325'}, 'symbol': 'atm'}, {'code': 'PSI', 'convert': {'mul': '0.0689476'}, 'symbol': 'PSI'}, {'code': 'TORR', 'convert': {'mul': '0.00133322'}, 'symbol': 'Torr'}, {'code': 'MMHG', 'convert': {'mul': '0.00133322'}, 'symbol': 'mmHg'}]"
Resistance,OHM,"[{'code': 'MILLIOHM', 'convert': {'mul': '0.001'}, 'symbol': 'mΩ'}, {'code': 'CENTIOHM', 'convert': {'mul': '0.01'}, 'symbol': 'cΩ'}, {'code': 'DECIOHM', 'convert': {'mul': '0.1'}, 'symbol': 'dΩ'}, {'code': 'OHM', 'convert': {'mul': '1'}, 'symbol': 'Ω'}, {'code': 'DEKAOHM', 'convert': {'mul': '10'}, 'symbol': 'daΩ'}, {'code': 'HECTOHM', 'convert': {'mul': '100'}, 'symbol': 'hΩ'}, {'code': 'KILOHM', 'convert': {'mul': '1000'}, 'symbol': 'kΩ'}, {'code': 'MEGOHM', 'convert': {'mul': '1000000'}, 'symbol': 'MΩ'}]"
Speed,METER_PER_SECOND,"[{'code': 'METER_PER_SECOND', 'convert': {'mul': '1'}, 'symbol': 'm/s'}, {'code': 'METER_PER_MINUTE', 'convert': {'div': '60'}, 'symbol': 'm/mn'}, {'code': 'METER_PER_HOUR', 'convert': {'mul': '1', 'div': '3600'}, 'symbol': 'm/h'}, {'code': 'KILOMETER_PER_HOUR', 'convert': {'mul': '1000', 'div': '3600'}, 'symbol': 'km/h'}, {'code': 'FOOT_PER_SECOND', 'convert': {'mul': '0.3048'}, 'symbol': 'ft/s'}, {'code': 'FOOT_PER_HOUR', 'convert': {'mul': '0.3048', 'div': '3600'}, 'symbol': 'ft/h'}, {'code': 'YARD_PER_HOUR', 'convert': {'mul': '0.9144', 'div': '3600'}, 'symbol': 'yd/h'}, {'code': 'MILE_PER_HOUR', 'convert': {'mul': '1609.344', 'div': '3600'}, 'symbol': 'mi/h'}]"
Temperature,KELVIN,"[{'code': 'CELSIUS', 'convert': {'add': '273.15'}, 'symbol': '°C'}, {'code': 'FAHRENHEIT', 'convert': {'sub': '32', 'div': '1.8', 'add': '273.15'}, 'symbol': '°F'}, {'code': 'KELVIN', 'convert': {'mul': '1'}, 'symbol': '°K'}, {'code': 'RANKINE', 'convert': {'div': '1.8'}, 'symbol': '°R'}, {'code': 'REAUMUR', 'convert': {'mul': '1.25', 'add': '273.15'}, 'symbol': '°r'}]"
Voltage,VOLT,"[{'code': 'MILLIVOLT', 'convert': {'mul': '0.001'}, 'symbol': 'mV'}, {'code': 'CENTIVOLT', 'convert': {'mul': '0.01'}, 'symbol': 'cV'}, {'code': 'DECIVOLT', 'convert': {'mul': '0.1'}, 'symbol': 'dV'}, {'code': 'VOLT', 'convert': {'mul': '1'}, 'symbol': 'V'}, {'code': 'DEKAVOLT', 'convert': {'mul': '10'}, 'symbol': 'daV'}, {'code': 'HECTOVOLT', 'convert': {'mul': '100'}, 'symbol': 'hV'}, {'code': 'KILOVOLT', 'convert': {'mul': '1000'}, 'symbol': 'kV'}]"
Volume,CUBIC_METER,"[{'code': 'MICROLITER', 'convert': {'mul': '0.000001'}, 'symbol': 'μl'}, {'code': 'HECTOLITER', 'convert': {'mul': '0.1'}, 'symbol': 'hl'}, {'code': 'CUBIC_MILLIMETER', 'convert': {'mul': '0.000000001'}, 'symbol': 'mm³'}, {'code': 'CUBIC_CENTIMETER', 'convert': {'mul': '0.000001'}, 'symbol': 'cm³'}, {'code': 'MILLILITER', 'convert': {'mul': '0.000001'}, 'symbol': 'ml'}, {'code': 'CENTILITER', 'convert': {'mul': '0.00001'}, 'symbol': 'cl'}, {'code': 'DECILITER', 'convert': {'mul': '0.0001'}, 'symbol': 'dl'}, {'code': 'CUBIC_DECIMETER', 'convert': {'mul': '0.001'}, 'symbol': 'dm³'}, {'code': 'LITER', 'convert': {'mul': '0.001'}, 'symbol': 'l'}, {'code': 'CUBIC_METER', 'convert': {'mul': '1'}, 'symbol': 'm³'}, {'code': 'OUNCE', 'convert': {'mul': '0.00454609', 'div': '160'}, 'symbol': 'oz'}, {'code': 'PINT', 'convert': {'mul': '0.00454609', 'div': '8'}, 'symbol': 'pt'}, {'code': 'BARREL', 'convert': {'mul': '0.16365924'}, 'symbol': 'bbl'}, {'code': 'GALLON', 'convert': {'mul': '0.00454609'}, 'symbol': 'gal'}, {'code': 'CUBIC_FOOT', 'convert': {'mul': '6.54119159', 'div': '231'}, 'symbol': 'ft³'}, {'code': 'CUBIC_INCH', 'convert': {'mul': '0.0037854118', 'div': '231'}, 'symbol': 'in³'}, {'code': 'CUBIC_YARD', 'convert': {'mul': '0.764554861'}, 'symbol': 'yd³'}]"
VolumeFlow,CUBIC_METER_PER_SECOND,"[{'code': 'CUBIC_METER_PER_SECOND', 'convert': {'mul': '1'}, 'symbol': 'm³/s'}, {'code': 'CUBIC_METER_PER_MINUTE', 'convert': {'mul': '60'}, 'symbol': 'm³/min'}, {'code': 'CUBIC_METER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'm³/h'}, {'code': 'CUBIC_METER_PER_DAY', 'convert': {'mul': '86400'}, 'symbol': 'm³/d'}, {'code': 'MILLILITER_PER_SECOND', 'convert': {'mul': '0.000001'}, 'symbol': 'ml/s'}, {'code': 'MILLILITER_PER_MINUTE', 'convert': {'mul': '60'}, 'symbol': 'ml/min'}, {'code': 'MILLILITER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'ml/h'}, {'code': 'MILLILITER_PER_DAY', 'convert': {'mul': '86400'}, 'symbol': 'ml/d'}, {'code': 'CUBIC_CENTIMETER_PER_SECOND', 'convert': {'mul': '0.000001'}, 'symbol': 'cm³/s'}, {'code': 'CUBIC_CENTIMETER_PER_MINUTE', 'convert': {'mul': '60'}, 'symbol': 'cm³/min'}, {'code': 'CUBIC_CENTIMETER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'cm³/h'}, {'code': 'CUBIC_CENTIMETER_PER_DAY', 'convert': {'mul': '86400'}, 'symbol': 'cm³/d'}, {'code': 'CUBIC_DECIMETER_PER_MINUTE', 'convert': {'mul': '60'}, 'symbol': 'dm³/min'}, {'code': 'CUBIC_DECIMETER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'dm³/h'}, {'code': 'LITER_PER_SECOND', 'convert': {'mul': '0.001'}, 'symbol': 'l/s'}, {'code': 'LITER_PER_MINUTE', 'convert': {'mul': '60'}, 'symbol': 'l/min'}, {'code': 'LITER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'l/h'}, {'code': 'LITER_PER_DAY', 'convert': {'mul': '86400'}, 'symbol': 'l/d'}, {'code': 'KILOLITER_PER_HOUR', 'convert': {'mul': '3600'}, 'symbol': 'kl/h'}]"
Weight,KILOGRAM,"[{'code': 'MICROGRAM', 'convert': {'mul': '0.000001'}, 'symbol': 'μg'}, {'code': 'MILLIGRAM', 'convert': {'mul': '0.000001'}, 'symbol': 'mg'}, {'code': 'GRAM', 'convert': {'mul': '0.001'}, 'symbol': 'g'}, {'code': 'KILOGRAM', 'convert': {'mul': '1'}, 'symbol': 'kg'}, {'code': 'TON', 'convert': {'mul': '1000'}, 'symbol': 't'}, {'code': 'GRAIN', 'convert': {'mul': '0.00006479891'}, 'symbol': 'gr'}, {'code': 'DENIER', 'convert': {'mul': '0.001275'}, 'symbol': 'denier'}, {'code': 'ONCE', 'convert': {'mul': '0.03059'}, 'symbol': 'once'}, {'code': 'MARC', 'convert': {'mul': '0.24475'}, 'symbol': 'marc'}, {'code': 'LIVRE', 'convert': {'mul': '0.4895'}, 'symbol': 'livre'}, {'code': 'OUNCE', 'convert': {'mul': '0.45359237', 'div': '16'}, 'symbol': 'oz'}, {'code': 'POUND', 'convert': {'mul': '0.45359237'}, 'symbol': 'lb'}]"
