parent,code,en,de
,master,Master,Master
master,samsung,Samsung,Samsung
samsung,s20_series,S20 Series,S20-Reihe
s20_series,s20,S20,S20
s20_series,s20_plus,S20+,S20+
s20_series,s20_ultra,S20 Ultra,S20 Ultra
s20_series,s20_fe,S20 FE,S20 FE
samsung,s21_series,S21 Series,S21-Reihe
s21_series,s21,S21,S21
s21_series,s21_plus,S21+,S21+
s21_series,s21_ultra,S21 Ultra,S21 Ultra
s21_series,s21_fe,S21 FE,S21 FE
samsung,s22_series,S22 Series,S22-Reihe
s22_series,s22,S22,S22
s22_series,s22_plus,S22+,S22+
s22_series,s22_ultra,S22 Ultra,S22 Ultra
master,duplicates,Duplicates,Duplikate
duplicates,dup_s20,Duplicates S20,Duplikate S20
duplicates,dup_s20_ultra,Duplicates S20 Ultra,Duplikate S20 Ultra
duplicates,dup_s21_128,Duplicates S21 128GB,Duplikate S21 128GB
duplicates,dup_s21_256,Duplicates S21 256GB,Duplikate S21 256GB
duplicates,dup_s21_plus,Duplicates S21 Plus,Duplikate S21 Plus
duplicates,dup_s21_ultra,Duplicates S21 Ultra,Duplikate S21 Ultra